injury_texts,num_categories,injury_categories
Contusion above Right Eyebrow,1,Eye
"Injury to Thumb, Knees, and Thigh, Knee and Shoulder Pain",4,Joint;Wrist;Leg;Shoulder
"Neck and Lower Back Injuries, Broken Nose and Cheekbone",4,Back;Neck or Back;Nose;Face
"Flare up of Pain in Neck and Testicles, Back, Neck, and Shoulder Injuries",3,Neck or Back;Organs of Reproduction;Shoulder
"Loss of Almost All Usage of Right Arm, Hand, Leg, Bruises on Right Forearm and Shin",3,Arm;Hand;Leg
"Head and Shoulder Injury, Unspecified Injury to Chest and Back",4,"Shoulder;Head, Skull;Neck or Back;Breast or Chest"
Soft Tissue Myofacial Pain Syndrome,1,Myofascial Pain Syndrome
"Soft Tissue Injury of Neck and Shoulder Area, Fractured Skull and Pelvis",5,"Soft Tissue;Neck or Back;Shoulder;Head, Skull;Hip, Pelvis"
Burning,1,Burns
"Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal, Wrongful Death and Survival Actions (not distinguished)",5,Nerve System;Hand;Wrist;Survival Action;Death
"Degenerative Arthritis of the Thumb, Lumbar Strain With Nerve Root Irritation",4,Arthritis;Hand;Neck or Back;Nerve System
Intentional Infliction of Emotional Distress,1,General Emotional Problems
"Knee and Back Pain, Strain/Sprain to Knee and Sternum",3,Joint;Neck or Back;Sternum
Mild Hearing Loss in Left Ear,1,Ear
"Head and Shoulder Injury, Knee and Back Pain",4,"Shoulder;Head, Skull;Joint;Neck or Back"
Headaches Secondary to Blunt Trauma,1,"Head, Skull"
Spent Forty-Six Days in Burn Unit,1,Burns
"Musculoligamentous Strains of the Neck and Shoulder, Partial Paralysis of Upper Lip",4,Shoulder;Neck or Back;Paralysis;Mouth or Teeth
Extensive Scar Tissue Around and Attached to Spinal Nerve Root,1,Spine
"Wrongful Death and Survival Actions (not distinguished), Left Thigh and Knee Sprain/Contusion",4,Survival Action;Death;Joint;Leg
Burns on 50% of Total Body,1,Burns
Defamation,1,"Defamation, Libel, Slander"
Third Degree Burns on Buttocks,2,"Burns;Hip, Pelvis"
Left Neck Pain,1,Neck or Back
Radicular Pains (Leg Pains),1,Leg
Weakness in Right Leg,1,Leg
"Cuts and Bruises to Hands, Legs, and Elbow",3,Joint;Hand;Leg
"Neck and Hand Sprain, Aggravation of Temporal Mandibular Joint Dysfunction Causing Chronic Migraine Headaches",4,"Neck or Back;Hand;Jaw;Head, Skull"
"Temporomandibular Joint Dysfunction (Jaw and Neck Pain), Pain in Chest, Shoulder, and Left Arm",5,Jaw;Neck or Back;Arm;Breast or Chest;Shoulder
Cervical and Lumbar Pain,1,Neck or Back
"Cuts and Bruises to Neck, Back, Shoulders, and Arms",3,Neck or Back;Shoulder;Arm
"Degenerative Changes and Disc Bulging at the L4-L5 and L5-S1 Levels in Back, Neck and Hand Sprain",3,Spine;Neck or Back;Hand
"Neck, Shoulder and Lower Back Pain, Right Knee Slip and Fall Injury",4,Shoulder;Neck or Back;Joint;Falling
"Injury to Head, Neck, and Thumb, Soft Tissue Injury to Neck and Shoulders",5,"Neck or Back;Head, Skull;Finger;Shoulder;Soft Tissue"
Significant Contusion Injuries to Right Hip,1,"Hip, Pelvis"
"Loss of Taste and Smell, Broken Small Finger, Thumb, and Nose",3,Nose;Mouth or Teeth;Finger
Rupture of Right Foot Achilles Tendon,1,Foot
"Unspecified Injury to Chest and Back, Numbness and Pain in Right Arm and Lower Extremities",4,Neck or Back;Breast or Chest;Arm;Leg
Intracranial Pressure Monitor Insertion,1,Spleen
"Degenerative Arthritis of the Thumb, Broken Nose and Cheekbone",4,Arthritis;Hand;Nose;Face
Severe Nerve Damage in Arm and Shoulder,2,Arm;Shoulder
"Limited Mobility in Fingers and Knee, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",5,Finger;Joint;Shoulder;Mouth or Teeth;Arm
Nerve Damage to Wrist,1,Wrist
Cervical and Thoracic Strain,2,Neck or Back;Shoulder
Numbness in Legs,1,Leg
"Aggravation of Pre-Existing Knee and Wrist Injury, Wrongful Death and Survival Action",4,Joint;Wrist;Survival Action;Death
"Right Knee Slip and Fall Injury, Increasing Pain, Numbness, and Headaches Due to Neck Injury",4,"Joint;Falling;Head, Skull;Neck or Back"
"Neck, Arm, and Hand Pain, Contusions to Hip, Foot and Toe",5,"Arm;Hand;Neck or Back;Foot;Hip, Pelvis"
"Rib Fracture Leading to Pneumonia, Soft Tissue Injuries to the Neck, Back, and Shoulder",4,Ribs;Lung;Neck or Back;Shoulder
"Neck, Chest, and Wrist Pain, Wrongful Death and Survival Action",5,Wrist;Neck or Back;Breast or Chest;Survival Action;Death
Pain in Right Knee and Ankle,1,Joint
"Sharp Pain and Stiffness in Neck Resulting from Low-Impact Vehicle Collision, Rib Fracture Leading to Pneumonia",4,Neck or Back;Automobile Accident;Ribs;Lung
"Aggravation of Temporal Mandibular Joint Dysfunction Causing Chronic Migraine Headaches, Fractures to Fibula, Medial Malleolus and Tibula",4,"Jaw;Head, Skull;Joint;Leg"
Herniation of the C4-C5 Disc,1,Spine
"Unspecified Injury to Chest and Back, Degenerative Changes and Disc Bulging at the L4-L5 and L5-S1 Levels in Back",3,Neck or Back;Breast or Chest;Spine
"Pain in Chest, Shoulder, and Left Arm, Injury to Right Knee and Back",5,Arm;Breast or Chest;Shoulder;Joint;Neck or Back
Laceration of Arm Requiring Three Stitches,1,Arm
Neuropathy of Thumb,1,Finger
"Unspecified Cervical and Lumbar Injuries, Pain in Left Ear, Shoulder, and Ankle",4,Neck or Back;Spine;Joint;Ear
"Cervical and Shoulder Sprains, Lower Back Pain Radiating Into Left Hip and Leg",4,"Shoulder;Neck or Back;Hip, Pelvis;Leg"
Bruising,1,Skin
"Bruises on Right Forearm and Shin, Neck and Shoulder Injury",4,Arm;Leg;Shoulder;Neck or Back
"Neck, Arm, and Hand Pain, Sharp Pain and Stiffness in Neck Resulting from Low-Impact Vehicle Collision",4,Arm;Hand;Neck or Back;Automobile Accident
"Bruised Foot and Knee, Knee and Shoulder Pain",3,Foot;Joint;Shoulder
Concussion,1,"Head, Skull"
"Dog Bite (Arm), Head, Neck, Back, Leg, and Knee Injuries",6,"Arm;Single Wound;Neck or Back;Head, Skull;Leg;Joint"
"Back, Neck, and Hand Injuries, Survival Action and Wrongful Death",4,Hand;Neck or Back;Survival Action;Death
"Back Pain Traveling Down Leg, Tenderness Between Ribs and Lower Spine",4,Leg;Neck or Back;Ribs;Spine
Herniated Lumbar Discs and Disc Protrusions,1,Spine
"Laceration of Back and Arm, Bruised Lung, Kidney, and Liver",5,Arm;Neck or Back;Kidney;Lung;Liver
Cervical Spine Injury,1,Spine
Muscle Spasms in Neck,1,Neck or Back
Chronic Pain Syndrome,1,Myofascial Pain Syndrome
"Crushed Wrist, Arm, and Shoulder Blade, Unspecified Neck and Shoulder Injuries",4,Arm;Wrist;Shoulder;Neck or Back
Quadriplegia - Surgery Not Specified,1,Paralysis
Contused Spleen,1,Spleen
"Severe Injuries to Head and Face, Neck, Chest, and Wrist Pain",5,"Face;Head, Skull;Breast or Chest;Neck or Back;Wrist"
Disability,1,Disability
"Anterior Contusions of the Knee and Legs, Numbness in Right Arm, Hand and Leg",4,Joint;Leg;Arm;Hand
"Chronic Radiculopathy Syndrome, Annular Tear at the L5-S1 level in Back",3,Neck or Back;Nerve System;Spine
"Face and Eye Contusions, Back, Neck, and Hand Injuries",4,Eye;Face;Hand;Neck or Back
Bruised Kidney,1,Kidney
"Injuries to Right Knee and Lower Back, Moderate Spondylosis with Apophyseal Osteoarthropathy in the Cervical Region",3,Neck or Back;Joint;Spine
Cervical Strain,1,Neck or Back
Injuries to Left Rib and Left Knee,2,Joint;Ribs
Lumbosacral Sprains,1,Joint
Wrongful death,1,Death
Recurring Discomfort,1,Unspecified
Bruised Ribs,1,Ribs
Pain in the Right Knee,1,Joint
"Bruising on Ear and Neck, Soft Tissue Injuries to the Neck, Back, and Shoulder",3,Ear;Neck or Back;Shoulder
"Injury to Thumb, Knees, and Thigh, Permanent Disfigurement and Disability",5,Joint;Finger;Leg;Disability;Skin
"Loss of Almost All Usage of Right Arm, Hand, Leg, Broken Nose and Cheekbone",5,Arm;Hand;Leg;Nose;Face
Dizzy Spells,1,Vertigo or Nausea
"Neck and Shoulder Stiffness, Sharp Pain and Stiffness in Neck Resulting from Low-Impact Vehicle Collision",3,Shoulder;Neck or Back;Automobile Accident
Lumbar Muscle Strain,1,Neck or Back
"Injuries to Gum and Lip, Glass Embedded in Cheek and Eye",4,Lip;Mouth or Teeth;Eye;Face
"Cervical and Thoracic Strain, Severe Injuries to Head and Face",4,"Neck or Back;Shoulder;Face;Head, Skull"
"Cervical Strain With Nerve Root Irritation, Burned Right Arm",4,Neck or Back;Nerve System;Arm;Burns
Thoracic Strain/Sprain,1,Neck or Back
"Loss of Almost All Usage of Right Arm, Hand, Leg, Aggravation of Pre-Existing Neck Arthritis",5,Arm;Hand;Leg;Arthritis;Neck or Back
"Non-displaced Fracture of the Radial Head of Right Arm, Closed-Head Injury with Permanent Cognitive Dysfunction",3,"Hand;Head, Skull;Cognitive Problem"
"Knee and Back Pain, Leg and Ankle Numbness",3,Joint;Neck or Back;Leg
"Dog Bite on Hand and Stomach, Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains",5,Hand;Stomach;Multiple Wounds;Neck or Back;Shoulder
"Back, Neck, and Hand Injuries, Permanent Paralysis From the Waist Down",3,Hand;Neck or Back;Paralysis
"Invasion of Privacy and Dignity, Limited Mobility in Fingers and Knee",4,"Invasion of Privacy;Defamation, Libel, Slander;Finger;Joint"
"Soft Tissue Injuries to the Neck, Back, and Shoulder, Injuries to Right Knee and Lower Back",3,Neck or Back;Shoulder;Joint
"Aggravation of Pre-Existing Knee and Wrist Injury, Neck and Head Injuries",4,"Joint;Wrist;Neck or Back;Head, Skull"
"Unspecified Cervical and Lumbar Injuries, Fractures to Fibula, Medial Malleolus and Tibula",4,Neck or Back;Spine;Joint;Leg
"Knee, Neck, Back, and Hand Injuries, Ulnar Nerve Irritation Causing Numbness in Three Fingers",5,Hand;Joint;Neck or Back;Wrist;Finger
"Kyphosis Which Causes Cervical Curving, Reflex Sympathetic Dystrophy in Arm and Hand",4,Spine;Neck or Back;Arm;Hand
Degenerative Changes and Disc Bulging at the L4-L5 and L5-S1 Levels in Back,2,Spine;Neck or Back
Rib Contusion,1,Ribs
"Injuries to Gum and Lip, Shoulder, Head, and Neck Pain",5,"Lip;Mouth or Teeth;Shoulder;Head, Skull;Neck or Back"
Chipped Elbow Bone,1,Joint
"Soft Tissue Injuries to the Neck, Back, and Shoulder",2,Neck or Back;Shoulder
Shoulder,1,Shoulder
"Back, Hip, and Leg Injuries, Left Thigh and Knee Sprain/Contusion",4,"Neck or Back;Hip, Pelvis;Leg;Joint"
Fear of Cancer,1,General Emotional Problems
Mild to Moderate Brain Damage,1,Brain
Burns to Back and Arm,2,Arm;Neck or Back
Acute Cervical Strain,1,Neck or Back
Broken Pelvis,1,"Hip, Pelvis"
Knee Replacement,1,Joint
Right Arm Injury,1,Arm
Swelling Over Eye,1,Eye
Unspecified Injuries Resulting from Motorcycle Injury,1,Automobile Accident
"Knee, Neck and Back Injuries",2,Joint;Neck or Back
Negligent Infliction of Emotional Distress,1,General Emotional Problems
"Bruised Foot and Knee, Burns to Back and Arm",4,Foot;Joint;Arm;Neck or Back
"Herniated Disc at C-4, C-5, and C-6 Levels",1,Spine
Minor Burn on Right Arm,1,Arm
"Multiple Lacerations on Forehead, Chin, and Lip, Neck and Shoulder Injuries",5,"Head, Skull;Face;Lip;Shoulder;Neck or Back"
"Injury to Forehead, Knees, and Clavicle, Back Pain Radiating Down Right Leg",5,"Head, Skull;Joint;Clavicle;Leg;Neck or Back"
Loss of Eye,1,Eye
"Soft Tissue Injuries to the Neck, Back, and Shoulder, Aggravation of Temporal Mandibular Joint Dysfunction Causing Chronic Migraine Headaches",4,"Neck or Back;Shoulder;Jaw;Head, Skull"
Torn Ligament,1,Joint
"Neck and Head Injuries, Broken Teeth and Exposed Nerves",4,"Neck or Back;Head, Skull;Mouth or Teeth;Nerve System"
Severed Right Hand,1,Hand
Herniated Disc Causing Severe Pain,1,Spine
"Cervical and Shoulder Sprain, Radiational Pain from Hip to Back",3,"Shoulder;Neck or Back;Hip, Pelvis"
"Back Pain Radiating Down Right Leg, Abrasions to Knees, Arms, Neck, and Face",4,Leg;Neck or Back;Arm;Joint
"Pain in Chest, Shoulder, and Left Arm, Dog Bite (Arm)",4,Arm;Breast or Chest;Shoulder;Single Wound
Broken Vertebrae,1,Spine
Cervical Nerve Root Irritation,1,Neck or Back
"Nose, Lip, Temple, and Neck Injuries, Broken Nose and Cheekbone",5,"Nose;Mouth or Teeth;Head, Skull;Neck or Back;Face"
"Laceration of Back and Arm, Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps",6,Arm;Neck or Back;Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease
Herniated Disk at C5-6,1,Spine
Lumbar Disc Syndrome,1,Spine
Loss of All Teeth,1,Mouth or Teeth
"Permanent Scarring on Face, Abdomen, Leg, Thigh, Buttocks and Back, Leg and Ankle Numbness",6,"Face;Abdomen;Leg;Neck or Back;Hip, Pelvis;Joint"
"Non-displaced Fracture of the Radial Head of Right Arm, Permanent Scarring on Face, Abdomen, Leg, Thigh, Buttocks and Back",7,"Hand;Head, Skull;Face;Abdomen;Leg;Neck or Back;Hip, Pelvis"
"Injuries to Shoulder, Clavicle, and Ribs, Chronic and Irremediable Pain in the Lower Back, Hip, Thigh and Leg",5,"Ribs;Shoulder;Neck or Back;Hip, Pelvis;Leg"
Aggravation of Temporal Mandibular Joint Dysfunction Causing Chronic Migraine Headaches,2,"Jaw;Head, Skull"
Numbness to Face,1,Face
"Loss of Urinary, Bowel, and Sexual Function, Right Arm and Shoulder Pain",5,Ureter or Urethra;Intestine;Sexual Dysfunction;Arm;Shoulder
"Numbness in Right Arm, Hand and Leg, Renal, Cardiac, and Pulmonary Contusions",6,Arm;Hand;Leg;Kidney;Heart;Lung
"Wrongful Death and Survival Actions (not distinguished), Shoulder and Thoracic Strain",4,Death;Survival Action;Shoulder;Neck or Back
"Shoulder and Thoracic Strain, Electrical Burns on Left Hand",4,Shoulder;Neck or Back;Hand;Burns
Legs Injuries,1,Leg
Hemarthosis,1,Joint
Dislocated Ankle,1,Joint
Congestive Heart Failure,1,Heart
Three Level Disc Herniations,1,Spine
Ruptured Foot Ligament,1,Foot
Loss of Finger Function,1,Finger
"Tenderness Between Ribs and Lower Spine, Neck, Arm, and Hand Pain",5,Ribs;Spine;Arm;Hand;Neck or Back
Left Hip,1,"Hip, Pelvis"
Mild Muscle Strain,1,Unspecified Muscle Injuries
"Neck and Shoulder Injuries, Extensive Lacerations Over Back of Left Hip",3,"Shoulder;Neck or Back;Hip, Pelvis"
Aching Elbow,1,Joint
"Cuts and Bruises to Neck, Back, Shoulders, and Arms, Injuries to Gum and Lip",5,Neck or Back;Shoulder;Arm;Lip;Mouth or Teeth
"Chronic and Irremediable Pain in the Lower Back, Hip, Thigh and Leg, Injuries to Neck, Back, and Arm",4,"Neck or Back;Hip, Pelvis;Leg;Arm"
"Soft Tissue Injury to Trapezius Muscle, Nose, Lip, Temple, and Neck Injuries",6,"Soft Tissue;Shoulder;Nose;Mouth or Teeth;Head, Skull;Neck or Back"
Herniated Lumbar Disk at the L3-4 Level,1,Spine
"Neck, Arm, and Hand Pain, Shoulder and Knee Injury",5,Arm;Hand;Neck or Back;Joint;Shoulder
"Forearm, Neck, and Shoulder Injuries, Hip and Leg Contusions",5,"Shoulder;Arm;Neck or Back;Leg;Hip, Pelvis"
Broken Leg,1,Leg
Laceration of Left Side of Face,1,Face
Pelvic Injuries,1,"Hip, Pelvis"
Injuries to Back and Buttocks,2,"Neck or Back;Hip, Pelvis"
Permanent Scarring and Disfigurement,1,Unspecified
"Severely Lacerated Foot and Accompanying Infection, Cervical Strain With Nerve Root Irritation",4,Foot;Infection;Neck or Back;Nerve System
Myofascial Pain,1,Myofascial Pain Syndrome
Left Elbow Contusion,1,Joint
Foraminotomy,1,Spine
Left Breast,1,Breast or Chest
"Burned Right Arm, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",4,Arm;Burns;Shoulder;Lip
"Neck, Chest, and Wrist Pain, Ulnar Nerve Irritation Causing Numbness in Three Fingers",4,Wrist;Neck or Back;Breast or Chest;Finger
"Non-displaced Fracture of the Radial Head of Right Arm, Lumbar Strain With Nerve Root Irritation",4,"Hand;Head, Skull;Neck or Back;Nerve System"
Aggravated Knee Pain,1,Joint
Herniated Cervical Disc,1,Spine
"Soft Tissue Injury to Thighs, Lumbosacral, Possible Nerve Root Compression and Paresthesias of the Upper Left Extremity",5,Leg;Soft Tissue;Spine;Nerve System;Arm
Loss of Reputation,1,"Defamation, Libel, Slander"
"Injuries to Gum and Lip, Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains",4,Lip;Mouth or Teeth;Neck or Back;Shoulder
Bruising on Ear and Neck,2,Ear;Neck or Back
Sprained Right Ankle,1,Joint
Fractured Tibia,1,Leg
"Soft Tissue Injuries to the Neck, Back, and Shoulder, Cervical and Thoracic Strain",2,Neck or Back;Shoulder
"Neck and Lower Back Injuries, Peroneal Palsy/Nerve Damage Sustained During Surgery",4,Back;Neck or Back;Leg;Nerve System
Loss of Consciousness,1,Cognitive Problem
"Chest and Face Lacerations, Head and Shoulder Injury",4,"Face;Breast or Chest;Shoulder;Head, Skull"
"Injuries to Neck and Shoulder in the Form of a Calcified Herniation at the C3-4 Level with Impingement on Spinal Cord, Disfigurement and Infertility",5,Neck or Back;Shoulder;Spine;Skin;Sexual Dysfunction
"Burns on Scalp, Back Pain from Kidneys",4,"Burns;Head, Skull;Kidney;Neck or Back"
Complete Paraplegia,1,Paralysis
Chronic Disc Herniation of Bone on Spinal Column in Neck,1,Spine
Protrusion at the C5-6 Disc Level with a Predominance at the Left,1,Spine
"Moderate Spondylosis with Apophyseal Osteoarthropathy in the Cervical Region, Broken Nose and Cheekbone",4,Spine;Neck or Back;Nose;Face
"Rib Fracture Leading to Pneumonia, Neck and Shoulder Injury",4,Ribs;Lung;Shoulder;Neck or Back
Multiple Soft Tissue Injuries,1,Soft Tissue
Rib Contusion,1,Ribs
"Laceration of Back and Arm, Tenderness Between Ribs and Lower Spine",4,Arm;Neck or Back;Ribs;Spine
"Lumbosacral Sprain and Right Shoulder Sprain, Ulnar Nerve Irritation Causing Numbness in Three Fingers",4,Shoulder;Spine;Wrist;Finger
Heart Complications-Survival Action,2,Heart;Survival Action
Lower Back Strain,1,Neck or Back
Psychological Problems including Depression,2,General Emotional Problems;Depression
"Broken Teeth and Exposed Nerves, Chest and Face Lacerations",4,Mouth or Teeth;Nerve System;Face;Breast or Chest
Aggravation of Prior Mental Injuries,1,Mental Abuse
Anger,1,General Emotional Problems
Necrosis of the Stomach Tissue,1,Stomach
"Right Knee Slip and Fall Injury, Cut Hand and Subsequent Infection",4,Joint;Falling;Hand;Infection
"Injury to Head, Neck, and Thumb, Bilateral Inflamation of Two Joints in Lower Back, Bulging Discs at the L4-5, T5-6, T6-7, and T7-8 Level",4,"Neck or Back;Head, Skull;Finger;Spine"
"Neck, Knee, and Back Injuries, Tenderness Between Ribs and Lower Spine",4,Joint;Neck or Back;Ribs;Spine
"Loss of Taste and Smell, Fractured Skull and Pelvis",4,"Nose;Mouth or Teeth;Head, Skull;Hip, Pelvis"
"Injury to Thumb, Knees, and Thigh, Broken Small Finger, Thumb, and Nose",4,Joint;Finger;Leg;Nose
"Cervical Strain With Nerve Root Irritation, Neck, Back, and Finger Sprains",3,Neck or Back;Nerve System;Finger
"Closed-Head Injury with Permanent Cognitive Dysfunction, Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin",7,"Head, Skull;Cognitive Problem;Burns;Hand;Stomach;Leg;Abdomen"
"Shooting Pain in Right Hand, Foot, Ankle, Back, and Shoulder Pain",6,Hand;Gunshot;Foot;Joint;Neck or Back;Shoulder
Fractured Mandible,1,Jaw
Swelling in the Neck,1,Neck or Back
Sexual Assault,1,Sexual Tort
"Shoulder and Thoracic Strain, Burns on Scalp",4,"Shoulder;Neck or Back;Burns;Head, Skull"
Cranial Nerve Damage,1,Nerve System
Two Broken Legs Resulting in Severe Pain and Reconstructive Surgeries,1,Leg
"Severely Lacerated Foot and Accompanying Infection, Burns to Back and Arm",4,Foot;Infection;Arm;Neck or Back
Soft Tissue Injury to Knee and Back,2,Joint;Neck or Back
"Injuries to Hands and Fingers, Burns to Torso and Leg",6,Finger;Hand;Leg;Breast or Chest;Neck or Back;Abdomen
Tibia and Fibula Fracture,1,Leg
"Bruises on Face and Knee, Arm and Shoulder Pain",4,Face;Joint;Arm;Shoulder
Injury to Back,1,Neck or Back
"Neck and Lower Back Injuries, Right Arm and Shoulder Pain",4,Back;Neck or Back;Arm;Shoulder
"Symptomatic Left Knee Lumbar Syndrome, Compensatory Left Sacroiliac Joint Dysfunction With Sciatic Nerve Radiculopathy",4,Joint;Spine;Neck or Back;Nerve System
Back Pain,1,Neck or Back
"Gunshot Injury to Neck, Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin",6,Gunshot;Neck or Back;Burns;Hand;Leg;Stomach
